BirthDate,Birdcode,Gender,City,HighSchool,Type,Level,Credits,GlobalGrade,Class
06-06-1990,5,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,7,Acceptable
15-10-1989,5,MUJER,SARAGURO,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,7,Acceptable
11-01-1988,5,HOMBRE,PORTOVIEJO,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,7,Acceptable
02-01-1991,6,MUJER,CHONE,ADMINISTRACION Y AFINES,Fiscal,Décimo,4,7.11,Acceptable
25-04-1988,5,MUJER,SARAGURO,ADMINISTRACION Y AFINES,Fiscal,Décimo,4,7.16,Acceptable
01-11-1990,5,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,5,7.69,Acceptable
31-05-1989,5,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscal,Décimo,2,7.75,Acceptable
16-04-1990,5,HOMBRE,MANTA,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,5,7.78,Acceptable
25-04-1990,5,MUJER,SARAGURO,ADMINISTRACION Y AFINES,Fiscal,Décimo,2,7.79,Acceptable
16-04-1979,3,HOMBRE,CHONE,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,7.86,Acceptable
02-04-1989,5,MUJER,SARAGURO,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,7.88,Acceptable
11-10-1990,5,HOMBRE,SARAGURO,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,4,7.89,Acceptable
06-10-1989,5,MUJER,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,4,7.89,Acceptable
07-11-1975,2,MUJER,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscal,Décimo,3,9,Good
24-04-1991,6,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscal,Décimo,3,9.04,Excellent
24-11-1987,5,MUJER,SARAGURO,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,9.25,Excellent
25-08-1986,5,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,9.8,Excellent
20-01-1984,4,HOMBRE,BOLÍVAR,ADMINISTRACION Y AFINES,Fiscomisional,Décimo,2,10,Excellent
13-10-1990,5,HOMBRE,SARAGURO,AGROPECUARIA,Fiscal,Décimo,4,7.04,Acceptable
20-09-1988,5,HOMBRE,BOLÍVAR,AGROPECUARIA,Fiscal,Décimo,4,7.06,Acceptable
10-02-1986,5,HOMBRE,BOLÍVAR,AGROPECUARIA,Fiscal,Décimo,2,7.69,Acceptable
